Structure,File,Line,Text
CPUID,td_dispatcher/tdx_td_dispatcher.c,815,"case VMEXIT_REASON_PCONFIG: // If CPUID(0x7,0x0).EDX[18] is virtualized as 0, PCONFIG is disabled and there's no VM exit"
CPUID,td_dispatcher/vm_exits/td_vmexit.h,52,* @brief Handler for CPUID exit
CPUID,td_dispatcher/vm_exits/td_cpuid.c,25,* @brief CPUID VMexit handler
CPUID,td_dispatcher/vm_exits/td_cpuid.c,79,// CPUID in the range 0x40000000 to 0x4FFFFFFF always inject a #VE
CPUID,td_dispatcher/vm_exits/td_cpuid.c,95,// CPUID leaf number that is higher than the maximum for its range is treated as if it were
CPUID,td_dispatcher/vm_exits/td_cpuid.c,103,// Get an index to the CPUID tables
CPUID,td_dispatcher/vm_exits/td_cpuid.c,108,// CPUID leaf/subleaf was not found in the lookup tables
CPUID,td_dispatcher/vm_exits/td_cpuid.c,111,// CPUID leaf/subleaf has a fixed-0 virtual value
CPUID,td_dispatcher/vm_exits/td_cpuid.c,146,// CPUID leaf/subleaf was found in the lookup tables
CPUID,td_dispatcher/vm_exits/td_cpuid.c,164,// Get the CPUID value calculated by TDH_MNG_INIT from TDCS
CPUID,td_dispatcher/vm_exits/td_cpuid.c,179,"// CPUID(2) is ""FAULTING_OR_FIXED_LEAF_SUBLEAF"" depending on VIRT_CPUID2 (and implicitly on REDUCE_VE)"
CPUID,td_dispatcher/vm_exits/td_cpuid.c,189,"// CPUID leaves that are ""FAULTING_OR_FIXED*_LEAF_SUBLEAF"" depending on REDUCE_VE"
CPUID,td_dispatcher/vm_exits/td_cpuid.c,206,"// CPUID(9) is ""FAULTING_OR_FIXED*_LEAF_SUBLEAF"" depending on REDUCE_VE and DCA"
CPUID,td_dispatcher/vm_exits/td_cpuid.c,215,"// CPUID(0xF) is ""FAULTING_OR_FIXED*_LEAF_SUBLEAF"" depending on REDUCE_VE and RDT_M"
CPUID,td_dispatcher/vm_exits/td_cpuid.c,225,"// CPUID(0x10) is ""FAULTING_OR_FIXED*_LEAF_SUBLEAF"" depending on REDUCE_VE and RDT_A"
CPUID,td_dispatcher/vm_exits/td_cpuid.c,235,"// CPUID(0x1B) is ""FAULTING_OR_FIXED*_LEAF_SUBLEAF"" depending on REDUCE_VE and PCONFIG"
CPUID,td_dispatcher/vm_exits/td_cpuid.c,263,// Dynamic Cases:  Fields marked as STATUS in the CPUID spreadsheet
CPUID,td_dispatcher/vm_exits/td_cpuid.c,288,"/* Use the native CPUID(0x4, *) values sampled at TD initialization time (TDH.MNG.INIT) with"
CPUID,td_dispatcher/vm_exits/td_cpuid.c,290,"- CPUID(0x4, *).EAX[25:14]"
CPUID,td_dispatcher/vm_exits/td_cpuid.c,291,"- CPUID(0x4, *).EAX[31:26]"
CPUID,td_dispatcher/vm_exits/td_cpuid.c,326,// Dynamic Cases:  Fields marked as STATUS in the CPUID spreadsheet
CPUID,td_dispatcher/vm_exits/td_cpuid.c,330,"// bit is 1, then clear the TSX CPUID bits in the virtual value that is returned to the guest."
CPUID,td_dispatcher/vm_exits/td_cpuid.c,339,"// CPUID(0x7, 0x0).ECX.OSPKE reflects guest CR4.PKE"
CPUID,td_dispatcher/vm_exits/td_cpuid.c,391,// Write the CPUID return values into the guest TD's GPR image
CPUID,vmm_dispatcher/migration_api_calls/tdh_import_state_immutable.c,194,"// set the CPUID_VALID entries for all CPUID(0x23) sub-leaves known by the TDX module to true. for all other CPUID_VALID, set false."
CPUID,vmm_dispatcher/api_calls/tdh_sys_config.c,874,// Complete CPUID handling
CPUID,vmm_dispatcher/api_calls/tdh_mng_init.c,56,// Loop on all 4 CPUID values
CPUID,vmm_dispatcher/api_calls/tdh_mng_init.c,234,// Initialize CPUID_FIXED0_BITMAP to the constant derived from the CPUID spreadsheet.
CPUID,vmm_dispatcher/api_calls/tdh_mng_init.c,242,"// Start with the native CPUID value, collected on TDHSYSINIT"
CPUID,vmm_dispatcher/api_calls/tdh_mng_init.c,254,// Loop on all 4 CPUID values
CPUID,vmm_dispatcher/api_calls/tdh_mng_init.c,269,// Compute the virtualized CPUID value and store in TDCS:
CPUID,vmm_dispatcher/api_calls/tdh_mng_init.c,289,// CPUID(1).EAX is the virtual Family/Model/Stepping configuration
CPUID,vmm_dispatcher/api_calls/tdh_mng_init.c,337,"// By default, the following flags don't depend on CPUID configuration.  This gets updated later if the TD sets TDCS.TD_CTLS.REDUCE_VE."
CPUID,vmm_dispatcher/api_calls/tdh_mng_init.c,370,// Both CPUID bits that enumerate TSX must have the same virtual value
CPUID,vmm_dispatcher/api_calls/tdh_mng_init.c,389,"// CPUID(0x7, 0x0).ECX.PKS reflects ATTRIBUTES.PKS"
CPUID,vmm_dispatcher/api_calls/tdh_mng_init.c,392,"// CPUID(0x7, 0x0).ECX.KL_SUPPORTED reflects ATTRIBUTES.KL"
CPUID,vmm_dispatcher/api_calls/tdh_mng_init.c,403,"// By default, the following flag doesn't depend on CPUID configuration.  This gets updated later if the TD sets TDCS.TD_CTLS.REDUCE_VE."
CPUID,vmm_dispatcher/api_calls/tdh_mng_init.c,469,"// Update CPUID leaf 0xD sub-leaf 0x1 EAX[2] value.  This bit enumerates XFD support, and is"
CPUID,vmm_dispatcher/api_calls/tdh_mng_init.c,504,// Handle CPUID Configuration by TSC_FREQUENCY
CPUID,vmm_dispatcher/api_calls/tdh_mng_init.c,506,// - CPUID(0x15).EAX (denominator) is virtualized as a FIXED value of 1
CPUID,vmm_dispatcher/api_calls/tdh_mng_init.c,507,"// - CPUID(0x15).ECX (nominal ART frequency) is virtualized as a FIXED value of 25,000,000"
CPUID,vmm_dispatcher/api_calls/tdh_mng_init.c,508,"// Therefore CPUID(0x15).EBX (numerator) is the configured virtual TSC frequency, in units of 25MHz."
CPUID,vmm_dispatcher/api_calls/tdh_mng_init.c,509,"// The virtual TSC frequency is CPUID(0x15).ECX * CPUID(0x15).EBX / CPUID(0x15).EAX,"
CPUID,vmm_dispatcher/api_calls/tdh_mng_init.c,576,"// Set LA_BITS based on LA57 from CPUID(7, 0).ECX[16]"
